Date,City,State,Lat,Lon,AreaType,School,Fatalities,Wounded,Dupe,Source,Desc,Year
7/15/2003,Dallas,Texas,32.7766642,-96.7969879,urban,HS,0,,,Pah,,2003
9/24/2003,Cold Spring,Minnesota,45.4536111,-94.4277778,suburban,HS,2,,TRUE,Pah,,2003
10/30/2003,Washington,District Of Columbia,38.9071923,-77.0368707,urban,HS,1,,,Pah,,2003
11/7/2003,Sugar Land,Texas,29.6196787,-95.6349463,urban,HS,1,,,Pah,,2003
1/21/2004,Henderson,Nevada,36.0395247,-114.9817213,urban,ES,1,,,Pah,,2004
2/2/2004,District of Columbia,District Of Columbia,38.9071923,-77.0368707,urban,HS,1,,,Pah,,2004
2/2/2004,Washington,D.C.,38.9071923,-77.0368707,,HS,1,0,,Wikp,"Thomas J. Boykin was acquitted of the murder of 17-year-old James Richardson, a football player at Ballou High School in Southeast Washington.[342]",2004
2/9/2004,East Greenbush,New York,42.5909135,-73.7017858,suburban,HS,0,,TRUE,Pah,,2004
2/11/2004,Philadelphia,Pennsylvania,39.9525839,-75.1652215,urban,ES,1,,,Pah,,2004
3/17/2004,Joyce,Washington,48.1361486,-123.7344094,rural,MS,0,,,Pah,,2004
5/7/2004,Randallstown,Maryland,39.3673278,-76.7952525,suburban,HS,0,,TRUE,Pah,,2004
